ṭhaḍḍā,stabdha
ṭhāṁv,sthāman
ṭhā-,sthāpayati
ṭhākur,ṭhakkura
ṭhāṛhā,stabdha
ṭhiyā,stibhi
ṭhir,sthira
ṭheṭh,stheṣṭha
ṭhaur,sthāvara
ḍaṇḍ,daṇḍa
ḍaṁḍnā,daṇḍayati
ḍaṇḍā,daṇḍaḳa
ḍar,dara
ḍarnā,darati
ḍasnā,daṁśati
ḍāṁgar,ḍaṅgara
ḍāṁṛ,daṇḍa
ḍāṁṛ-,daṇḍayati
ḍāṁṛā,daṇḍaka
ḍāṁṛī,daṇḍika
ḍāṁṛī,daṇḍa
ḍāṁs,daṁśa
ḍāin,ḍākinī
ḍāṛhā,dagdha
ḍābh,darbha
ḍāl,ḍāla
ḍāh,dāha
ḍāhnā,dāhayati
ḍīṭh,dr̥ṣṭi
ḍain,ḍayana
ḍainā,ḍayana
ḍoṁb,ḍomba
ḍonī,droṇa
ḍom,ḍomba
ḍomnī,ḍombinī
ḍor,davara
ḍorā,davara
ḍol,dola
ḍolnā,dolāyate
ḍolā,dola
ḍauṁṛī,ḍiṇḍima
ḍhāī,ardhatr̥tīya
ḍhāk,dhakṣu
ḍhīṭh,dhr̥ṣṭa
ḍhonā,ḍhaukayati
ḍhol,ḍhola
tant,tanti
taṁbiyā,tāmrika
taī,tapaka
tak,tāvatka
tak,tarka
takhan,tatkṣaṇa
takhān,takṣan
taṛ,traṭ
tattā,tapta
tan,tanū
tan,-tanaḥ
tanī,tanikā
tap,tapas
tarnā,tarati
tarvar,taravaṭa
tarāin,tārāgaṇa
tal,tala
talvār,taravāri
